shape,in,out,M,kernel,threads,arith_intensity_ops_per_byte,gops
qkv/o  [896->896],896,896,1,i8-naive,1,1.763780,33.049572
qkv/o  [896->896],896,896,1,i8-tuned,1,1.763780,49.026980
qkv/o  [896->896],896,896,1,i8-tuned,6,1.763780,48.319382
qkv/o  [896->896],896,896,1,fp32,6,1.763780,6.386219
qkv/o  [896->896],896,896,8,i8-naive,1,13.373134,36.950263
qkv/o  [896->896],896,896,8,i8-tuned,1,13.373134,54.266183
qkv/o  [896->896],896,896,8,i8-tuned,6,13.373134,40.165782
qkv/o  [896->896],896,896,8,fp32,6,13.373134,27.585609
qkv/o  [896->896],896,896,32,i8-naive,1,45.367089,38.095849
qkv/o  [896->896],896,896,32,i8-tuned,1,45.367089,54.345834
qkv/o  [896->896],896,896,32,i8-tuned,6,45.367089,83.217679
qkv/o  [896->896],896,896,32,fp32,6,45.367089,40.351081
qkv/o  [896->896],896,896,128,i8-naive,1,112.881890,37.479233
qkv/o  [896->896],896,896,128,i8-tuned,1,112.881890,54.448905
qkv/o  [896->896],896,896,128,i8-tuned,6,112.881890,110.409058
qkv/o  [896->896],896,896,128,fp32,6,112.881890,55.594430
qkv/o  [896->896],896,896,512,i8-naive,1,179.761755,37.354322
qkv/o  [896->896],896,896,512,i8-tuned,1,179.761755,54.672640
qkv/o  [896->896],896,896,512,i8-tuned,6,179.761755,114.112430
qkv/o  [896->896],896,896,512,fp32,6,179.761755,58.009111
gate/up[896->4864],896,4864,1,i8-naive,1,1.769463,39.884554
gate/up[896->4864],896,4864,1,i8-tuned,1,1.769463,58.030004
gate/up[896->4864],896,4864,1,i8-tuned,6,1.769463,32.764452
gate/up[896->4864],896,4864,1,fp32,6,1.769463,14.712633
gate/up[896->4864],896,4864,8,i8-naive,1,13.706924,41.826532
gate/up[896->4864],896,4864,8,i8-tuned,1,13.706924,63.788192
gate/up[896->4864],896,4864,8,i8-tuned,6,13.706924,116.261840
gate/up[896->4864],896,4864,8,fp32,6,13.706924,37.585003
gate/up[896->4864],896,4864,32,i8-naive,1,49.452433,40.943422
gate/up[896->4864],896,4864,32,i8-tuned,1,49.452433,64.370860
gate/up[896->4864],896,4864,32,i8-tuned,6,49.452433,159.060505
gate/up[896->4864],896,4864,32,fp32,6,49.452433,46.330137
gate/up[896->4864],896,4864,128,i8-naive,1,142.088680,41.758615
gate/up[896->4864],896,4864,128,i8-tuned,1,142.088680,66.670537
gate/up[896->4864],896,4864,128,i8-tuned,6,142.088680,187.789159
gate/up[896->4864],896,4864,128,fp32,6,142.088680,55.175607
gate/up[896->4864],896,4864,512,i8-naive,1,267.239637,45.425585
gate/up[896->4864],896,4864,512,i8-tuned,1,267.239637,66.067600
gate/up[896->4864],896,4864,512,i8-tuned,6,267.239637,205.443074
gate/up[896->4864],896,4864,512,fp32,6,267.239637,61.377211
down   [4864->896],4864,896,1,i8-naive,1,1.769463,41.509346
down   [4864->896],4864,896,1,i8-tuned,1,1.769463,52.688903
down   [4864->896],4864,896,1,i8-tuned,6,1.769463,34.731642
down   [4864->896],4864,896,1,fp32,6,1.769463,21.465290
down   [4864->896],4864,896,8,i8-naive,1,13.706924,46.142598
down   [4864->896],4864,896,8,i8-tuned,1,13.706924,63.509802
down   [4864->896],4864,896,8,i8-tuned,6,13.706924,106.748176
down   [4864->896],4864,896,8,fp32,6,13.706924,47.882237
down   [4864->896],4864,896,32,i8-naive,1,49.452433,42.629366
down   [4864->896],4864,896,32,i8-tuned,1,49.452433,60.446587
down   [4864->896],4864,896,32,i8-tuned,6,49.452433,116.624647
down   [4864->896],4864,896,32,fp32,6,49.452433,50.386424
down   [4864->896],4864,896,128,i8-naive,1,142.088680,41.370286
down   [4864->896],4864,896,128,i8-tuned,1,142.088680,60.979758
down   [4864->896],4864,896,128,i8-tuned,6,142.088680,126.774656
down   [4864->896],4864,896,128,fp32,6,142.088680,55.484955
