shape,in,out,M,kernel,threads,arith_intensity_ops_per_byte,gops
qkv/o  [896->896],896,896,1,i8-naive,1,1.866667,46.486846
qkv/o  [896->896],896,896,1,i8-tuned,1,1.866667,60.787527
qkv/o  [896->896],896,896,1,i8-tuned,6,1.866667,62.691333
qkv/o  [896->896],896,896,1,fp32,6,1.866667,7.264585
qkv/o  [896->896],896,896,8,i8-naive,1,14.110236,51.909342
qkv/o  [896->896],896,896,8,i8-tuned,1,14.110236,69.276171
qkv/o  [896->896],896,896,8,i8-tuned,6,14.110236,52.169437
qkv/o  [896->896],896,896,8,fp32,6,14.110236,27.255139
qkv/o  [896->896],896,896,32,i8-naive,1,47.470199,45.589438
qkv/o  [896->896],896,896,32,i8-tuned,1,47.470199,67.392047
qkv/o  [896->896],896,896,32,i8-tuned,6,47.470199,102.427219
qkv/o  [896->896],896,896,32,fp32,6,47.470199,42.469234
qkv/o  [896->896],896,896,128,i8-naive,1,116.080972,56.422792
qkv/o  [896->896],896,896,128,i8-tuned,1,116.080972,76.895177
qkv/o  [896->896],896,896,128,i8-tuned,6,116.080972,155.592088
qkv/o  [896->896],896,896,128,fp32,6,116.080972,47.988662
qkv/o  [896->896],896,896,512,i8-naive,1,181.755943,48.795692
qkv/o  [896->896],896,896,512,i8-tuned,1,181.755943,65.821973
qkv/o  [896->896],896,896,512,i8-tuned,6,181.755943,146.591595
qkv/o  [896->896],896,896,512,fp32,6,181.755943,51.466413
gate/up[896->4864],896,4864,1,i8-naive,1,1.873033,61.487113
gate/up[896->4864],896,4864,1,i8-tuned,1,1.873033,77.313406
gate/up[896->4864],896,4864,1,i8-tuned,6,1.873033,44.902862
gate/up[896->4864],896,4864,1,fp32,6,1.873033,21.683525
gate/up[896->4864],896,4864,8,i8-naive,1,14.482348,58.444138
gate/up[896->4864],896,4864,8,i8-tuned,1,14.482348,83.446249
gate/up[896->4864],896,4864,8,i8-tuned,6,14.482348,181.656847
gate/up[896->4864],896,4864,8,fp32,6,14.482348,51.809539
gate/up[896->4864],896,4864,32,i8-naive,1,51.961847,59.383919
gate/up[896->4864],896,4864,32,i8-tuned,1,51.961847,86.213329
gate/up[896->4864],896,4864,32,i8-tuned,6,51.961847,251.889139
gate/up[896->4864],896,4864,32,fp32,6,51.961847,60.214645
gate/up[896->4864],896,4864,128,i8-naive,1,147.194812,60.514885
gate/up[896->4864],896,4864,128,i8-tuned,1,147.194812,85.568551
gate/up[896->4864],896,4864,128,i8-tuned,6,147.194812,284.428853
gate/up[896->4864],896,4864,128,fp32,6,147.194812,59.118319
gate/up[896->4864],896,4864,512,i8-naive,1,271.670864,59.261644
gate/up[896->4864],896,4864,512,i8-tuned,1,271.670864,89.146970
gate/up[896->4864],896,4864,512,i8-tuned,6,271.670864,272.197250
gate/up[896->4864],896,4864,512,fp32,6,271.670864,56.860033
down   [4864->896],4864,896,1,i8-naive,1,1.873033,59.433801
down   [4864->896],4864,896,1,i8-tuned,1,1.873033,71.267927
down   [4864->896],4864,896,1,i8-tuned,6,1.873033,42.050907
down   [4864->896],4864,896,1,fp32,6,1.873033,21.345450
down   [4864->896],4864,896,8,i8-naive,1,14.482348,52.705316
down   [4864->896],4864,896,8,i8-tuned,1,14.482348,69.858472
down   [4864->896],4864,896,8,i8-tuned,6,14.482348,126.153788
down   [4864->896],4864,896,8,fp32,6,14.482348,44.338492
down   [4864->896],4864,896,32,i8-naive,1,51.961847,54.107141
down   [4864->896],4864,896,32,i8-tuned,1,51.961847,76.029947
down   [4864->896],4864,896,32,i8-tuned,6,51.961847,153.865160
down   [4864->896],4864,896,32,fp32,6,51.961847,55.491884
down   [4864->896],4864,896,128,i8-naive,1,147.194812,54.371746
down   [4864->896],4864,896,128,i8-tuned,1,147.194812,73.288355
down   [4864->896],4864,896,128,i8-tuned,6,147.194812,150.377235
down   [4864->896],4864,896,128,fp32,6,147.194812,60.184190
down   [4864->896],4864,896,512,i8-naive,1,271.670864,54.524799
down   [4864->896],4864,896,512,i8-tuned,1,271.670864,74.902087
down   [4864->896],4864,896,512,i8-tuned,6,271.670864,178.473627
down   [4864->896],4864,896,512,fp32,6,271.670864,57.429297
lm_head[896->151936],896,151936,1,i8-naive,1,1.874431,29.512023
lm_head[896->151936],896,151936,1,i8-tuned,1,1.874431,30.746514
lm_head[896->151936],896,151936,1,i8-tuned,6,1.874431,55.134962
lm_head[896->151936],896,151936,1,fp32,6,1.874431,14.615724
lm_head[896->151936],896,151936,8,i8-naive,1,14.566312,26.871797
lm_head[896->151936],896,151936,8,i8-tuned,1,14.566312,65.939145
lm_head[896->151936],896,151936,8,i8-tuned,6,14.566312,242.512233
lm_head[896->151936],896,151936,8,fp32,6,14.566312,47.662615
lm_head[896->151936],896,151936,32,i8-naive,1,53.059212,31.569779
lm_head[896->151936],896,151936,32,i8-tuned,1,53.059212,80.722048
lm_head[896->151936],896,151936,32,i8-tuned,6,53.059212,283.540055
lm_head[896->151936],896,151936,32,fp32,6,53.059212,58.070642
lm_head[896->151936],896,151936,128,i8-naive,1,156.355126,30.505759
lm_head[896->151936],896,151936,128,i8-tuned,1,156.355126,83.208155
lm_head[896->151936],896,151936,128,i8-tuned,6,156.355126,295.957862
lm_head[896->151936],896,151936,128,fp32,6,156.355126,58.009345
