shape,in,out,M,kernel,threads,arith_intensity_ops_per_byte,gops
qkv/o  [896->896],896,896,1,i8-naive,1,1.763780,23.910838
qkv/o  [896->896],896,896,1,i8-tuned,1,1.763780,36.715595
qkv/o  [896->896],896,896,1,i8-tuned,6,1.763780,39.000631
qkv/o  [896->896],896,896,1,fp32,6,1.763780,6.349989
qkv/o  [896->896],896,896,8,i8-naive,1,13.373134,37.613094
qkv/o  [896->896],896,896,8,i8-tuned,1,13.373134,55.639996
qkv/o  [896->896],896,896,8,i8-tuned,6,13.373134,44.292674
qkv/o  [896->896],896,896,8,fp32,6,13.373134,29.936800
qkv/o  [896->896],896,896,32,i8-naive,1,45.367089,38.195137
qkv/o  [896->896],896,896,32,i8-tuned,1,45.367089,57.776106
qkv/o  [896->896],896,896,32,i8-tuned,6,45.367089,87.543881
qkv/o  [896->896],896,896,32,fp32,6,45.367089,43.458912
qkv/o  [896->896],896,896,128,i8-naive,1,112.881890,35.463381
qkv/o  [896->896],896,896,128,i8-tuned,1,112.881890,57.391760
qkv/o  [896->896],896,896,128,i8-tuned,6,112.881890,106.274449
qkv/o  [896->896],896,896,128,fp32,6,112.881890,53.794509
qkv/o  [896->896],896,896,512,i8-naive,1,179.761755,39.078080
qkv/o  [896->896],896,896,512,i8-tuned,1,179.761755,56.951464
qkv/o  [896->896],896,896,512,i8-tuned,6,179.761755,124.017364
qkv/o  [896->896],896,896,512,fp32,6,179.761755,57.208691
gate/up[896->4864],896,4864,1,i8-naive,1,1.769463,41.586444
gate/up[896->4864],896,4864,1,i8-tuned,1,1.769463,59.209538
gate/up[896->4864],896,4864,1,i8-tuned,6,1.769463,35.472268
gate/up[896->4864],896,4864,1,fp32,6,1.769463,16.172756
gate/up[896->4864],896,4864,8,i8-naive,1,13.706924,45.321159
gate/up[896->4864],896,4864,8,i8-tuned,1,13.706924,66.293262
gate/up[896->4864],896,4864,8,i8-tuned,6,13.706924,128.301945
gate/up[896->4864],896,4864,8,fp32,6,13.706924,43.154355
gate/up[896->4864],896,4864,32,i8-naive,1,49.452433,42.903796
gate/up[896->4864],896,4864,32,i8-tuned,1,49.452433,67.181295
gate/up[896->4864],896,4864,32,i8-tuned,6,49.452433,170.574225
gate/up[896->4864],896,4864,32,fp32,6,49.452433,49.916532
gate/up[896->4864],896,4864,128,i8-naive,1,142.088680,43.811495
gate/up[896->4864],896,4864,128,i8-tuned,1,142.088680,65.841959
gate/up[896->4864],896,4864,128,i8-tuned,6,142.088680,215.121504
gate/up[896->4864],896,4864,128,fp32,6,142.088680,57.878050
gate/up[896->4864],896,4864,512,i8-naive,1,267.239637,45.179857
gate/up[896->4864],896,4864,512,i8-tuned,1,267.239637,66.253781
gate/up[896->4864],896,4864,512,i8-tuned,6,267.239637,215.415036
gate/up[896->4864],896,4864,512,fp32,6,267.239637,59.054869
down   [4864->896],4864,896,1,i8-naive,1,1.769463,38.540206
down   [4864->896],4864,896,1,i8-tuned,1,1.769463,54.431584
down   [4864->896],4864,896,1,i8-tuned,6,1.769463,31.811427
down   [4864->896],4864,896,1,fp32,6,1.769463,19.820834
down   [4864->896],4864,896,8,i8-naive,1,13.706924,41.860161
down   [4864->896],4864,896,8,i8-tuned,1,13.706924,59.485294
down   [4864->896],4864,896,8,i8-tuned,6,13.706924,97.070909
down   [4864->896],4864,896,8,fp32,6,13.706924,43.810698
down   [4864->896],4864,896,32,i8-naive,1,49.452433,42.298508
down   [4864->896],4864,896,32,i8-tuned,1,49.452433,60.497827
down   [4864->896],4864,896,32,i8-tuned,6,49.452433,110.431539
down   [4864->896],4864,896,32,fp32,6,49.452433,50.318908
down   [4864->896],4864,896,128,i8-naive,1,142.088680,39.606806
down   [4864->896],4864,896,128,i8-tuned,1,142.088680,59.140397
down   [4864->896],4864,896,128,i8-tuned,6,142.088680,134.023226
down   [4864->896],4864,896,128,fp32,6,142.088680,57.970417
down   [4864->896],4864,896,512,i8-naive,1,267.239637,42.698986
down   [4864->896],4864,896,512,i8-tuned,1,267.239637,60.030105
down   [4864->896],4864,896,512,i8-tuned,6,267.239637,135.029390
down   [4864->896],4864,896,512,fp32,6,267.239637,58.053855
lm_head[896->151936],896,151936,1,i8-naive,1,1.770710,27.216623
lm_head[896->151936],896,151936,1,i8-tuned,1,1.770710,31.105913
lm_head[896->151936],896,151936,1,i8-tuned,6,1.770710,53.389674
lm_head[896->151936],896,151936,1,fp32,6,1.770710,15.449598
lm_head[896->151936],896,151936,8,i8-naive,1,13.782115,21.180036
lm_head[896->151936],896,151936,8,i8-tuned,1,13.782115,62.933604
lm_head[896->151936],896,151936,8,i8-tuned,6,13.782115,221.760058
lm_head[896->151936],896,151936,8,fp32,6,13.782115,54.285520
lm_head[896->151936],896,151936,32,i8-naive,1,50.445354,30.695216
lm_head[896->151936],896,151936,32,i8-tuned,1,50.445354,69.762666
lm_head[896->151936],896,151936,32,i8-tuned,6,50.445354,236.561813
lm_head[896->151936],896,151936,32,fp32,6,50.445354,61.854414
lm_head[896->151936],896,151936,128,i8-naive,1,150.606094,28.409042
lm_head[896->151936],896,151936,128,i8-tuned,1,150.606094,64.126377
lm_head[896->151936],896,151936,128,i8-tuned,6,150.606094,256.573829
lm_head[896->151936],896,151936,128,fp32,6,150.606094,61.835508
sweep,896,4864,1,mr1_nc8_nopf,1,0,57.525238
sweep,896,4864,1,mr1_nc8_pf,1,0,58.550650
sweep,896,4864,1,mr1_nc32_nopf,1,0,56.530230
sweep,896,4864,1,mr1_nc32_pf,1,0,55.754178
sweep,896,4864,1,mr1_nc54_nopf,1,0,55.562886
sweep,896,4864,1,mr1_nc54_pf,1,0,56.473697
sweep,896,4864,1,mr1_nc256_nopf,1,0,58.607508
sweep,896,4864,1,mr1_nc256_pf,1,0,56.668753
sweep,896,4864,1,mr2_nc8_nopf,1,0,31.110955
sweep,896,4864,1,mr2_nc8_pf,1,0,31.762355
sweep,896,4864,1,mr2_nc32_nopf,1,0,30.392085
