kernel,threads,gops,window_s
fp32-fma  ,1,111.987150,10.000000
fp32-fma  ,6,507.408455,10.000000
fp32-fma  ,12,578.878646,10.000000
i8-actual ,1,235.795771,10.000000
i8-actual ,6,967.540153,10.000000
i8-actual ,12,1266.469562,10.000000
i8-nosign ,1,250.232616,10.000000
i8-nosign ,6,1040.433898,10.000000
i8-nosign ,12,1301.666862,10.000000
fp32-sustain,6,475.037489,5
fp32-sustain,6,469.330228,5
fp32-sustain,6,468.940120,5
fp32-sustain,6,478.636930,5
fp32-sustain,6,464.379704,5
fp32-sustain,6,465.037621,5
fp32-sustain,6,471.703971,5
fp32-sustain,6,470.956017,5
fp32-sustain,6,460.737101,5
fp32-sustain,6,464.089422,5
fp32-sustain,6,451.221054,5
fp32-sustain,6,460.054637,5
