kernel,threads,gbs_stream_counted,gbs_true_traffic
copy ,1,12.242561,18.363842
scale,1,13.949582,20.924373
add  ,1,15.776151,21.034868
triad,1,16.032101,21.376135
triad-nt,1,22.602693,22.602693
copy ,2,15.719618,23.579428
scale,2,17.319874,25.979810
add  ,2,17.479934,23.306578
triad,2,19.470902,25.961203
triad-nt,2,30.457614,30.457614
copy ,3,16.555662,24.833493
scale,3,16.300384,24.450576
add  ,3,17.829587,23.772782
triad,3,19.905118,26.540158
triad-nt,3,31.762329,31.762329
copy ,4,17.168967,25.753451
scale,4,17.287814,25.931722
add  ,4,19.913501,26.551335
triad,4,19.459702,25.946270
triad-nt,4,29.181235,29.181235
copy ,6,16.153953,24.230930
scale,6,17.295880,25.943820
add  ,6,19.683354,26.244473
triad,6,19.964455,26.619273
triad-nt,6,29.860103,29.860103
copy ,8,17.051401,25.577102
scale,8,16.864352,25.296528
add  ,8,19.313924,25.751899
triad,8,19.386515,25.848687
triad-nt,8,29.437046,29.437046
copy ,12,17.524112,26.286168
scale,12,17.643546,26.465319
add  ,12,19.455799,25.941065
triad,12,19.075361,25.433815
triad-nt,12,28.574820,28.574820
